instance,source,n_vars,n_cons,solver,obj_nominal,solve_time,converged,S,feasibility_rate,infeasibility_rate,mean_obj,std_obj,mean_violation,max_violation,n_test
flugpl,MIPLIB,18,12,HiGHS-SAA,1203444.0167695954,1.5802717779297382,True,100,0.95,0.050000000000000044,1202659.9337522353,28667.399618951586,8.23986251684103,551.4928329807462,400
flugpl,MIPLIB,18,12,OR-Tools GLOP-SAA,1203444.016767486,1.4196637079585344,True,100,0.95,0.050000000000000044,1202659.9337501465,28667.39961888757,8.239862518665456,551.4928329807481,400
flugpl,MIPLIB,18,12,OR-Tools PDLP-SAA,1203443.9991689888,2.2374105200869963,True,100,0.95,0.050000000000000044,1202659.916349434,28667.39915313901,8.23987583863501,551.4928329807462,400
flugpl,MIPLIB,18,12,Bertsimas-Sim(γ=3.0),1600248.9825113877,0.0087917490163818,True,parametric robust (γ=3.0),1.0,0.0,1373999.8570137448,32907.62186126672,0.0,0.0,400
flugpl,MIPLIB,18,12,CVaR-LP(α=0.95),1203364.866159686,0.5866043249843642,True,100,0.95,0.050000000000000044,1202659.9337522353,28667.399618951586,8.239862516841022,551.4928329807462,400
flugpl,MIPLIB,18,12,FuzzyPD-LP,1716322.3518662725,4.476142616011202,True,BS(γ=5.0)+AdvSAA(100)+Combo,1.0,0.0,1715129.608829597,41215.72747565872,0.0,0.0,400
flugpl,MIPLIB,18,12,TSAR-BS-only,1716322.3518662725,0.9492419909220189,True,BS-only(γ=5.0),1.0,0.0,1715129.608829597,41215.72747565872,0.0,0.0,400
flugpl,MIPLIB,18,12,TSAR-Adv-only,1300649.8136653262,2.595417145988904,True,AdvSAA-only(S=100),1.0,0.0,1299838.455108631,31135.400856438944,0.0,0.0,400
flugpl,MIPLIB,18,12,TSAR-No-calib,1237381.6884396672,0.4547374499961734,True,No-calibration(fixed γ=2.0),0.995,0.0050000000000000044,1236621.8326214715,29626.287116345175,0.8288243185351348,250.30396483633922,400
2171,MIPLIB,5,98,Nominal-LP,nan,0.21407538698986173,False,deterministic (mean only),0.0,1.0,0.0,0.0,102.0424496984355,113.42135116532987,400
2171,MIPLIB,5,98,HiGHS-SAA,nan,0.5752368851099163,False,100,0.0,1.0,0.0,0.0,102.0424496984355,113.42135116532987,400
2171,MIPLIB,5,98,OR-Tools GLOP-SAA,nan,3.5963399410247803,False,100,0.0,1.0,0.0,0.0,102.0424496984355,113.42135116532987,400
2171,MIPLIB,5,98,OR-Tools PDLP-SAA,nan,5.053429365041666,False,100,0.0,1.0,0.0,0.0,102.0424496984355,113.42135116532987,400
2171,MIPLIB,5,98,Bertsimas-Sim(γ=3.0),nan,0.014847025042399764,False,parametric robust (γ=3.0),0.0,1.0,0.0,0.0,102.0424496984355,113.42135116532987,400
2171,MIPLIB,5,98,CVaR-LP(α=0.95),nan,1.0691542360000312,False,100,0.0,1.0,0.0,0.0,102.0424496984355,113.42135116532987,400
2171,MIPLIB,5,98,FuzzyPD-LP,0.0,8.220125501975417,True,BS(γ=5.0)+AdvSAA(100)+Combo,0.0,1.0,0.0,0.0,102.0424496984355,113.42135116532987,400
2171,MIPLIB,5,98,TSAR-BS-only,0.0,1.0098143469076604,True,BS-only(γ=5.0),0.0,1.0,0.0,0.0,102.0424496984355,113.42135116532987,400
2171,MIPLIB,5,98,TSAR-Adv-only,0.0,3.685625080950558,True,AdvSAA-only(S=100),0.0,1.0,0.0,0.0,102.0424496984355,113.42135116532987,400
2171,MIPLIB,5,98,TSAR-No-calib,0.0,0.09118917991872877,True,No-calibration(fixed γ=2.0),0.0,1.0,0.0,0.0,102.0424496984355,113.42135116532987,400
sctest,NETLIB,6,5,Nominal-LP,nan,0.16115143708884716,False,deterministic (mean only),0.0,1.0,0.0,0.0,2.9991235560919813,3.2037451816068336,400
sctest,NETLIB,6,5,HiGHS-SAA,nan,0.4449231120524928,False,100,0.0,1.0,0.0,0.0,2.9991235560919813,3.2037451816068336,400
sctest,NETLIB,6,5,OR-Tools GLOP-SAA,nan,2.190073973033577,False,100,0.0,1.0,0.0,0.0,2.9991235560919813,3.2037451816068336,400
sctest,NETLIB,6,5,OR-Tools PDLP-SAA,nan,75.16086643806193,False,100,0.0,1.0,0.0,0.0,2.9991235560919813,3.2037451816068336,400
sctest,NETLIB,6,5,Bertsimas-Sim(γ=3.0),nan,0.008406842011027038,False,parametric robust (γ=3.0),0.0,1.0,0.0,0.0,2.9991235560919813,3.2037451816068336,400
sctest,NETLIB,6,5,CVaR-LP(α=0.95),nan,0.40737133694346994,False,100,0.0,1.0,0.0,0.0,2.9991235560919813,3.2037451816068336,400
